Make,Model,Total_Accidents,Total_Fatalities,Avg_Fatalities_Per_Accident
CESSNA,172,228,56.0,0.24561403508771928
Cessna,172,175,34.0,0.19428571428571428
CIRRUS DESIGN CORP,SR22,115,72.0,0.6260869565217392
CESSNA,180,114,11.0,0.09649122807017543
CESSNA,182,110,30.0,0.2727272727272727
BEECH,A36,108,79.0,0.7314814814814815
PIPER,PA-18-150,107,5.0,0.04672897196261682
Cessna,182,98,37.0,0.37755102040816324
PIPER,PA28,97,40.0,0.41237113402061853
CESSNA,172N,92,32.0,0.34782608695652173
Cessna,150,81,17.0,0.20987654320987653
CESSNA,172M,79,27.0,0.34177215189873417
PIPER,PA-28-140,75,28.0,0.37333333333333335
CESSNA,152,72,16.0,0.2222222222222222
CESSNA,170B,69,10.0,0.14492753623188406
CESSNA,172S,69,26.0,0.37681159420289856
Cessna,180,68,8.0,0.11764705882352941
CESSNA,140,66,7.0,0.10606060606060606
PIPER,PA-28-180,60,23.0,0.38333333333333336
Piper,PA-28-140,60,37.0,0.6166666666666667
CESSNA,A185F,60,13.0,0.21666666666666667
Cessna,152,59,9.0,0.15254237288135594
Cessna,172N,58,44.0,0.7586206896551724
CESSNA,150,55,16.0,0.2909090909090909
AERONCA,7AC,51,11.0,0.21568627450980393
MOONEY,M20J,51,32.0,0.6274509803921569
CESSNA,210,51,9.0,0.17647058823529413
CESSNA,182P,49,15.0,0.30612244897959184
CESSNA,P210N,42,10.0,0.23809523809523808
CESSNA,170,42,6.0,0.14285714285714285
Piper,PA28,42,16.0,0.38095238095238093
PIPER,PA 18-150,41,7.0,0.17073170731707318
Piper,PA18,41,0.0,0.0
PIPER,PA-12,40,7.0,0.175
CESSNA,177,40,5.0,0.125
PIPER,PA-30,38,20.0,0.5263157894736842
PIPER,J3C-65,38,6.0,0.15789473684210525
PIPER,PA-24-250,38,22.0,0.5789473684210527
MOONEY,M20C,38,18.0,0.47368421052631576
CESSNA,182Q,37,7.0,0.1891891891891892
Cessna,172M,37,15.0,0.40540540540540543
CESSNA,172P,37,6.0,0.16216216216216217
PIPER,PA-22-150,37,7.0,0.1891891891891892
LUSCOMBE,8A,35,5.0,0.14285714285714285
CESSNA,150M,34,9.0,0.2647058823529412
BEECH,58,33,24.0,0.7272727272727273
Cirrus,SR22,33,15.0,0.45454545454545453
CESSNA,120,32,5.0,0.15625
Beech,A36,32,33.0,1.03125
CESSNA,150F,32,9.0,0.28125
Beech,35,32,1.0,0.03125
PIPER,PA-18,31,5.0,0.16129032258064516
STINSON,108,30,4.0,0.13333333333333333
PIPER,PA-28-181,30,8.0,0.26666666666666666
Cessna,140,29,4.0,0.13793103448275862
Piper,PA-28-161,29,31.0,1.0689655172413792
CESSNA,177RG,29,7.0,0.2413793103448276
Cessna,177,29,5.0,0.1724137931034483
Piper,PA-18,28,9.0,0.32142857142857145
Cessna,210,28,9.0,0.32142857142857145
CESSNA,172K,28,9.0,0.32142857142857145
PIPER,PA-32R-300,28,32.0,1.1428571428571428
LUSCOMBE,8,28,3.0,0.10714285714285714
Mooney,M20J,28,14.0,0.5
PIPER,PA-28-161,28,4.0,0.14285714285714285
Cessna,A185,27,3.0,0.1111111111111111
PIPER,PA 46-350P,27,21.0,0.7777777777777778
BEECH,C23,27,11.0,0.4074074074074074
CESSNA,150L,27,7.0,0.25925925925925924
PIPER,PA32,26,12.0,0.46153846153846156
CESSNA,T210L,26,4.0,0.15384615384615385
PIPER,PA 28-180,26,10.0,0.38461538461538464
CIRRUS DESIGN CORP,SR20,26,17.0,0.6538461538461539
Piper,PA-28-181,26,13.0,0.5
BELLANCA,7GCBC,25,8.0,0.32
Piper,PA32,25,7.0,0.28
Cessna,177RG,25,8.0,0.32
CESSNA,A185,25,0.0,0.0
CESSNA,170A,24,1.0,0.041666666666666664
PIPER,PA-32-260,24,17.0,0.7083333333333334
BOEING,A75N1(PT17),24,0.0,0.0
Cessna,170,24,0.0,0.0
CESSNA,172R,24,14.0,0.5833333333333334
CESSNA,T210M,24,9.0,0.375
BEECH,V35B,24,9.0,0.375
PIPER,PA18,24,4.0,0.16666666666666666
PIPER,PA-28-235,24,4.0,0.16666666666666666
CESSNA,182T,23,10.0,0.43478260869565216
CESSNA,177B,23,6.0,0.2608695652173913
CESSNA,175,23,4.0,0.17391304347826086
CESSNA,T210N,23,9.0,0.391304347826087
MOONEY,M20E,23,18.0,0.782608695652174
PIPER,PA46,23,12.0,0.5217391304347826
MOONEY,M20F,23,16.0,0.6956521739130435
CIRRUS,SR22,22,4.0,0.18181818181818182
CESSNA,195,22,0.0,0.0
Piper,PA-24-250,22,5.0,0.22727272727272727
Cessna,150M,22,1.0,0.045454545454545456
PIPER,PA 28-140,22,6.0,0.2727272727272727
MOONEY AIRCRAFT CORP.,M20K,22,5.0,0.22727272727272727
PIPER,PA-28R-200,22,9.0,0.4090909090909091
Piper,PA28R,22,8.0,0.36363636363636365
BEECH,V35,22,20.0,0.9090909090909091
BEECH,F33A,21,8.0,0.38095238095238093
BELLANCA,17-30A,21,5.0,0.23809523809523808
Piper,PA-28-180,21,10.0,0.47619047619047616
Beech,C23,21,3.0,0.14285714285714285
Piper,PA-18-150,21,5.0,0.23809523809523808
Cessna,172P,21,13.0,0.6190476190476191
PIPER,PA-32-300,21,17.0,0.8095238095238095
CESSNA,TR182,21,5.0,0.23809523809523808
CESSNA,150H,21,4.0,0.19047619047619047
Beech,36,21,1.0,0.047619047619047616
CESSNA,172H,20,6.0,0.3
CESSNA,180J,20,0.0,0.0
Cessna,182P,20,6.0,0.3
CESSNA,R182,20,8.0,0.4
BEECH,A36TC,20,16.0,0.8
CHAMPION,7ECA,20,7.0,0.35
Piper,PA46,20,11.0,0.55
Piper,PA22,20,2.0,0.1
Aeronca,7AC,19,9.0,0.47368421052631576
Piper,PA-38-112,19,2.0,0.10526315789473684
CESSNA,T182T,19,7.0,0.3684210526315789
PIPER,PA22,18,0.0,0.0
CESSNA,150G,18,3.0,0.16666666666666666
PIPER,PA-24-260,18,6.0,0.3333333333333333
CESSNA,180H,18,0.0,0.0
CESSNA,182A,17,4.0,0.23529411764705882
CESSNA,R172K,17,8.0,0.47058823529411764
AVIAT AIRCRAFT INC,A-1B,17,0.0,0.0
PIPER,PA-22-160,17,0.0,0.0
CESSNA,421C,17,16.0,0.9411764705882353
TAYLORCRAFT,BC12-D,17,2.0,0.11764705882352941
PIPER,PA-20,17,1.0,0.058823529411764705
Cessna,T210M,17,23.0,1.3529411764705883
CESSNA,172RG,16,0.0,0.0
BEECH,G35,16,10.0,0.625
Cessna,185,16,0.0,0.0
Piper,PA-12,16,4.0,0.25
CESSNA,T210,16,9.0,0.5625
PIPER,PA-46-310P,16,10.0,0.625
SOCATA,TBM 700,16,19.0,1.1875
Cessna,150L,16,12.0,0.75
Piper,PA24,16,7.0,0.4375
AERONCA,11AC,16,4.0,0.25
Piper,PA 12,16,0.0,0.0
Cessna,T210,16,4.0,0.25
CESSNA,172F,16,3.0,0.1875
PIPER,PA-28-151,16,7.0,0.4375
Piper,PA-28-235,16,10.0,0.625
Bellanca,7GCBC,16,6.0,0.375
MOONEY,M20M,16,12.0,0.75
BEECH,S35,15,11.0,0.7333333333333333
Cessna,T210N,15,8.0,0.5333333333333333
Cessna,R182,15,9.0,0.6
BELLANCA,8KCAB,15,3.0,0.2
CESSNA,172L,15,5.0,0.3333333333333333
PIPER,PA 18,15,0.0,0.0
CESSNA,T206H,15,6.0,0.4
BOEING,B75N1,15,1.0,0.06666666666666667
Cessna,170B,15,2.0,0.13333333333333333
FLIGHT DESIGN GMBH,CTSW,14,1.0,0.07142857142857142
CESSNA,305A,14,0.0,0.0
PIPER,PA32R,14,9.0,0.6428571428571429
BEECH,95-B55 (T42A),14,5.0,0.35714285714285715
Mooney,M20F,14,7.0,0.5
RAYTHEON AIRCRAFT COMPANY,A36,14,10.0,0.7142857142857143
Luscombe,8A,14,2.0,0.14285714285714285
PIPER,PA-28,14,0.0,0.0
Piper,PA32R,14,8.0,0.5714285714285714
Piper,PA-28R-200,14,10.0,0.7142857142857143
CESSNA,340A,14,22.0,1.5714285714285714
CESSNA,172D,14,1.0,0.07142857142857142
CUBCRAFTERS INC,CC11-160,14,0.0,0.0
PIPER,PA 12,14,2.0,0.14285714285714285
PIPER,PA-34-200T,14,11.0,0.7857142857142857
Beech,58,14,19.0,1.3571428571428572
Luscombe,8,14,1.0,0.07142857142857142
Piper,PA-30,14,9.0,0.6428571428571429
PIPER,PA-22,14,3.0,0.21428571428571427
Piper,PA-22,14,1.0,0.07142857142857142
Piper,PA-22-150,14,0.0,0.0
Stinson,108,14,2.0,0.14285714285714285
Mooney,M20E,13,6.0,0.46153846153846156
Cessna,182Q,13,21.0,1.6153846153846154
BEECH,35,13,4.0,0.3076923076923077
MOONEY,M20R,13,4.0,0.3076923076923077
CESSNA,414,13,3.0,0.23076923076923078
PIPER,J3C,13,3.0,0.23076923076923078
CESSNA,P210,13,11.0,0.8461538461538461
MOONEY,M20,13,1.0,0.07692307692307693
CESSNA,310R,13,11.0,0.8461538461538461
CESSNA,182J,13,0.0,0.0
Mooney,M20K,13,6.0,0.46153846153846156
PIPER,PA-38-112,13,3.0,0.23076923076923078
PIPER,PA-18-135,13,4.0,0.3076923076923077
AMERICAN CHAMPION AIRCRAFT,8GCBC,13,1.0,0.07692307692307693
Cessna,120,13,0.0,0.0
Champion,7GCBC,12,1.0,0.08333333333333333
Cessna,150H,12,4.0,0.3333333333333333
PIPER,PA-28R-180,12,7.0,0.5833333333333334
CESSNA,182L,12,7.0,0.5833333333333334
CIRRUS DESIGN CORP,SR22T,12,6.0,0.5
PIPER,PA28R,12,6.0,0.5
PIPER,PA-22-135,12,3.0,0.25
Cessna,A185F,12,1.0,0.08333333333333333
DIAMOND AIRCRAFT IND INC,DA 40,12,6.0,0.5
LUSCOMBE,8E,12,1.0,0.08333333333333333
PIPER,PA-32R-301T,12,12.0,1.0
CESSNA,172G,12,1.0,0.08333333333333333
BEECH,B36TC,12,14.0,1.1666666666666667
PIPER,PA 24-250,12,6.0,0.5
Mooney,M20C,12,7.0,0.5833333333333334
Cessna,310,12,2.0,0.16666666666666666
Cessna,172H,12,4.0,0.3333333333333333
PIPER,PA-46-350P,12,0.0,0.0
EVEKTOR-AEROTECHNIK AS,SPORTSTAR,11,0.0,0.0
CESSNA,185,11,2.0,0.18181818181818182
STINSON,108-1,11,1.0,0.09090909090909091
BELLANCA,7ECA,11,2.0,0.18181818181818182
Piper,PA-34-200T,11,9.0,0.8181818181818182
Beech,23,11,2.0,0.18181818181818182
CESSNA,182M,11,6.0,0.5454545454545454
PIPER,PA24,11,3.0,0.2727272727272727
Piper,J3C,11,2.0,0.18181818181818182
Beech,55,11,3.0,0.2727272727272727
STINSON,108-3,11,0.0,0.0
CESSNA,180A,11,1.0,0.09090909090909091
MAULE,MX7,11,0.0,0.0
FLIGHT DESIGN GMBH,CTLS,11,2.0,0.18181818181818182
CESSNA,182C,11,3.0,0.2727272727272727
CESSNA,182H,11,5.0,0.45454545454545453
CESSNA,182G,11,3.0,0.2727272727272727
CESSNA,180K,11,2.0,0.18181818181818182
Piper,PA-32-300,11,3.0,0.2727272727272727
Piper,PA-32-260,11,6.0,0.5454545454545454
BEECH,H35,11,3.0,0.2727272727272727
Cessna,172K,11,9.0,0.8181818181818182
PIPER,PA 28,11,0.0,0.0
CESSNA,182R,10,3.0,0.3
Cessna,150G,10,2.0,0.2
CONSOLIDATED AERONAUTICS INC.,LAKE LA-4-200,10,0.0,0.0
PIPER,PA 28R-200,10,4.0,0.4
GLOBE,GC-1B,10,0.0,0.0
